game_date,Home Team,Away Team,Period,Clock,Home Team Skaters,Away Team Skaters,Home Team Goals,Away Team Goals,Team,Player,Event,X Coordinate,Y Coordinate,Detail 1,Detail 2,Detail 3,Detail 4,Player 2,X Coordinate 2,Y Coordinate 2
2021/1/23,Minnesota Whitecaps,Boston Pride,1,20:00,5,5,0,0,Boston Pride,Jillian Dempsey,Faceoff Win,100,43,Backhand,,,,Stephanie Anderson,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:58,5,5,0,0,Boston Pride,McKenna Brand,Puck Recovery,107,40,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:57,5,5,0,0,Boston Pride,McKenna Brand,Zone Entry,125,28,Carried,,,,Maddie Rowe,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:55,5,5,0,0,Boston Pride,McKenna Brand,Shot,131,28,Snapshot,On Net,t,f,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:53,5,5,0,0,Boston Pride,Tereza Vanisova,Faceoff Win,169,21,Backhand,,,,Stephanie Anderson,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:52,5,5,0,0,Boston Pride,Samantha Davis,Puck Recovery,159,26,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:50,5,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Puck Recovery,101,31,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:48,5,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Zone Entry,125,6,Carried,,,,Kaleigh Fratkin,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:47,5,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Play,157,0,Indirect,,,,Meghan Lorence,198,38
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:43,5,5,0,0,Minnesota Whitecaps,Meghan Lorence,Play,193,20,Direct,,,,Haley Mack,196,33
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:40,5,5,0,0,Boston Pride,Mallory Souliotis,Takeaway,3,49,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:40,5,5,0,0,Boston Pride,Mallory Souliotis,Play,3,49,Direct,,,,Taylor Wenczkowski,37,70
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:37,5,5,0,0,Boston Pride,Taylor Wenczkowski,Dump In/Out,50,82,Lost,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:36,5,5,0,0,Minnesota Whitecaps,Sydney Baldwin,Puck Recovery,137,1,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:34,5,5,0,0,Minnesota Whitecaps,Sydney Baldwin,Incomplete Play,140,0,Indirect,,,,Meghan Lorence,172,2
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:32,5,5,0,0,Boston Pride,Kaleigh Fratkin,Puck Recovery,1,54,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:30,5,5,0,0,Boston Pride,Mallory Souliotis,Puck Recovery,12,33,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:28,5,5,0,0,Boston Pride,Mallory Souliotis,Play,12,33,Direct,,,,Taylor Wenczkowski,61,85
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:25,5,5,0,0,Minnesota Whitecaps,Allie Thunstrom,Takeaway,112,0,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:23,5,5,0,0,Minnesota Whitecaps,Allie Thunstrom,Zone Entry,124,2,Carried,,,,Kaleigh Fratkin,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:21,5,5,0,0,Minnesota Whitecaps,Allie Thunstrom,Shot,162,2,Snapshot,On Net,f,f,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:17,5,5,0,0,Boston Pride,Mallory Souliotis,Puck Recovery,25,3,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:17,5,5,0,0,Boston Pride,Mallory Souliotis,Play,25,3,Indirect,,,,Samantha Davis,57,3
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:14,5,5,0,0,Boston Pride,Samantha Davis,Dump In/Out,66,5,Lost,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:12,5,5,0,0,Minnesota Whitecaps,Chelsey Brodt-Rosenthal,Puck Recovery,79,80,,,,,,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:12,5,5,0,0,Minnesota Whitecaps,Chelsey Brodt-Rosenthal,Play,79,80,Direct,,,,Nina Rodgers,105,45
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:09,5,5,0,0,Minnesota Whitecaps,Nina Rodgers,Play,118,24,Direct,,,,Allie Thunstrom,134,8
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:09,5,5,0,0,Minnesota Whitecaps,Nina Rodgers,Zone Entry,124,20,Played,,,,Taylor Turnquist,,
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:08,5,5,0,0,Minnesota Whitecaps,Allie Thunstrom,Play,168,10,Direct,,,,Nina Rodgers,161,14
2021/1/23,Minnesota Whitecaps,Boston Pride,1,19:07,5,5,0,0,Minnesota Whitecaps,Nina Rodgers,Shot,167,18,Snapshot,Missed,f,f,,,
